;id_labdoc;n_users;durée_écriture;plage_travail;passage_main
650;435513;3;820.0;7531.000000000001;3
652;435570;2;940.0;6713.0;1
653;428713;2;240.0;444416.0;1
654;434465;3;2080.0;86152.0;2
655;435531;2;1280.0;8026.000000000001;2
656;435389;2;960.0;5445.0;1
657;434424;2;1140.0;90570.0;2
658;432027;2;440.0;178087.0;1
659;433512;2;740.0;51874.0;1
661;433501;3;320.0;51274.0;1
662;428857;3;600.0;560280.0;2
663;428806;4;1180.0;289317.0;5
664;428744;3;400.0;288595.0;5
665;428736;2;380.0;286660.0;2
666;432461;2;500.0;1859.0000000000002;2
668;432468;2;200.0;304.0;1
669;428742;4;280.0;288227.0;5
670;428791;2;280.0;873.0;3
671;428741;3;220.0;287770.0;4
673;428835;2;220.0;2820.0;1
674;432404;2;160.0;4120.0;1
675;428942;2;1120.0;376430.0;4
676;431252;3;1100.0;199810.0;2
677;428939;3;1360.0;375639.0;5
682;434306;2;680.0;105896.0;1
684;435813;2;1100.0;9122.0;1
685;434474;2;420.0;10674.0;2
686;434522;2;1120.0;124614.00000000001;2
687;434814;2;660.0;79441.0;1
688;434412;2;1000.0;58973.00000000001;2
689;433503;2;340.0;103114.0;2
690;434753;2;900.0;87963.0;2
691;435047;2;1380.0;30821.000000000004;1
692;433502;2;620.0;212155.0;2
693;434738;2;1180.0;90419.0;2
694;433518;3;1700.0;176298.0;2
707;431506;2;300.0;265050.0;1
709;429686;2;400.0;149989.0;1
711;427053;2;500.0;540553.0;2
713;435308;2;740.0;55028.0;1
714;428056;2;100.0;194668.0;1
715;433258;4;760.0;238879.00000000003;5
716;435653;3;460.0;40982.0;2
717;435652;2;540.0;41691.0;1
718;435685;3;520.0;38965.0;2
719;435695;2;540.0;37955.0;1
720;433257;2;240.0;72196.0;3
721;434253;4;1660.0;230471.0;5
725;434225;2;300.0;229447.0;2
728;428155;3;320.0;394541.0;2
729;428171;3;1060.0;392633.0;2
730;428746;2;1800.0;31333.000000000004;3
731;428165;3;800.0;393084.0;2
732;428808;2;1060.0;10463.0;1
733;428158;2;40.0;393861.0;1
734;433481;3;1180.0;184818.0;2
735;429650;3;880.0;526422.0;4
738;433668;3;1080.0;145751.0;1
739;435664;2;940.0;10104.0;1
741;434886;2;140.0;40692.0;1
744;428144;4;820.0;516083.00000000006;4
746;428875;2;260.0;551664.0;1
749;428814;3;660.0;552988.0;2
750;428801;4;1140.0;554064.0;4
751;428837;3;520.0;554925.0;2
752;427910;4;320.0;605119.0;2
753;427909;3;440.0;606803.0;2
754;433509;3;340.0;167694.0;2
755;434741;2;260.0;33221.0;1
756;431595;2;620.0;338470.0;1
758;433447;2;100.0;175757.0;1
759;433511;2;300.0;76133.0;1
766;430261;2;340.0;415157.0;1
767;430604;2;740.0;408143.0;1
768;430260;3;1640.0;415182.0;2
769;428393;2;820.0;281958.0;2
770;430621;2;1700.0;406948.0;1
771;418042;3;420.0;175636.0;1
774;428495;2;320.0;521865.00000000006;2
775;428371;2;1320.0;525884.0;2
776;428891;2;600.0;443033.0;1
779;428795;2;640.0;443174.0;1
781;428739;2;1040.0;445314.0;1
782;428846;2;240.0;442218.0;1
785;433528;3;740.0;166557.0;2
786;430748;2;620.0;432835.0;1
788;435379;2;580.0;6504.0;1
789;434495;3;1880.0;83281.0;5
790;434473;2;800.0;78592.0;2
795;426563;2;260.0;442401.0;1
799;426576;2;520.0;443713.0;1
802;429438;2;580.0;418602.0;1
803;426711;2;320.0;610471.0;1
806;428012;4;1740.0;525233.0;3
807;431602;2;520.0;242062.00000000003;1
810;427530;2;220.0;423198.0;1
811;427516;2;1200.0;318240.0;3
815;427534;2;800.0;441955.0;1
820;427526;2;300.0;317433.0;2
824;428940;2;800.0;283864.0;2
831;426757;3;520.0;554699.0;3
834;430396;2;600.0;356392.0;2
840;433864;2;500.0;19898.0;1
841;433923;2;1040.0;16743.0;2
843;433860;2;140.0;19999.0;1
846;429547;4;1360.0;538061.0;5
847;428712;4;1060.0;567748.0;5
848;428376;3;800.0;531650.0;4
850;432066;3;560.0;299580.0;1
851;435638;2;700.0;3958.0000000000005;1
852;430141;4;1080.0;468422.00000000006;4
853;429524;4;1180.0;535826.0;4
854;428475;3;1200.0;571988.0;4
855;429575;3;660.0;537266.0;2
856;430249;2;300.0;465821.0;1
857;430277;3;220.0;88574.0;1
859;434401;3;1500.0;93988.0;2
860;428360;4;780.0;573177.0;2
861;428496;5;700.0;528530.0;3
863;426919;2;220.0;338175.0;1
875;428773;2;280.0;261155.00000000003;1
876;427541;4;500.0;582888.0;3
877;426947;2;480.0;613338.0;3
879;428859;2;340.0;292214.0;1
882;427525;3;1180.0;602494.0;4
884;426950;2;680.0;583046.0;3
886;428743;2;440.0;3165.0;1
887;435216;2;820.0;12285.0;1
888;428381;2;940.0;460804.0;2
889;428476;3;1620.0;459932.0;2
890;431550;2;500.0;256504.00000000003;3
891;428499;2;880.0;458224.0;1
892;433201;2;1840.0;95073.0;1
893;428402;2;1180.0;460264.0;2
894;428386;2;240.0;24274.0;1
895;431537;2;1100.0;257296.00000000003;1
897;429453;2;540.0;434201.0;1
898;429608;4;1000.0;426675.0;4
900;431345;3;520.0;335436.0;2
901;428021;4;820.0;593211.0;9
902;428020;4;1260.0;593592.0;6
905;432616;3;420.0;254428.00000000003;2
906;431404;3;320.0;359411.0;1
907;431103;3;1060.0;375216.0;2
908;432614;3;300.0;254373.00000000003;2
909;431089;3;800.0;377055.0;2
911;434303;2;700.0;86106.0;1
912;428472;2;1020.0;555826.0;1
913;432310;2;540.0;266344.0;2
914;435158;2;1400.0;10723.0;3
915;432397;2;460.0;252513.00000000003;1
916;435338;2;1060.0;3706.0000000000005;2
921;395840;2;420.0;374150.0;1
925;432320;2;900.0;101269.0;1
934;434153;3;1560.0;92004.0;3
938;435552;2;1940.0;10146.0;1
939;428370;3;1660.0;573719.0;4
953;471279;2;440.0;849.0;1
954;471278;2;720.0;1360.0;1
959;471267;2;600.0;1427.0;1
960;471276;2;160.0;1787.0;2
961;471316;2;240.0;9105.0;1
963;470251;2;640.0;2847.0;3
964;470265;2;1000.0;1695.0;1
965;470257;2;400.0;1778.0;1
966;470338;2;600.0;1622.0;1
968;470329;2;660.0;7617.000000000001;1
969;470336;2;300.0;1067.0;1
970;470327;2;260.0;7990.000000000001;1
973;470226;2;220.0;4744.0;1
974;470215;2;140.0;2695.0;2
976;470220;2;340.0;1459.0;1
977;470212;2;60.0;736.0;1
978;470210;2;680.0;2114.0;2
980;471378;2;660.0;1713.0;1
982;471376;2;300.0;6139.0;3
983;469983;2;220.0;2418.0;1
985;469988;2;280.0;1877.0000000000002;1
986;470062;3;540.0;12314.0;1
987;469995;2;320.0;3332.0;1
988;470012;2;460.0;1006.0000000000001;1
989;470009;2;260.0;833.0;1
990;470015;2;240.0;678.0;1
991;470017;2;1100.0;1789.0;2
992;469966;2;540.0;2436.0;1
993;469977;2;960.0;2754.0;2
994;469968;2;520.0;2170.0;1
995;469970;2;60.0;257.0;1
1005;470043;2;580.0;2422.0;1
1006;470042;2;860.0;10587.0;1
1007;470197;2;580.0;2474.0;1
1010;470202;2;540.0;1228.0;3
1011;470190;2;840.0;3201.0;3
1012;470200;2;340.0;1827.0000000000002;2
1013;470192;2;140.0;418.0;1
1017;471292;2;260.0;3658.0000000000005;1
1018;471298;2;900.0;2827.0;2
1019;471327;2;620.0;1452.0;2
1020;471336;2;280.0;495.00000000000006;1
1021;471339;2;340.0;865.0;1
1023;471321;2;160.0;1045.0;1
1024;471331;2;220.0;329.0;1
1025;471333;2;540.0;3670.0000000000005;1
1026;471322;2;340.0;1598.0;1
1029;471354;2;200.0;6202.0;2
1030;471347;2;640.0;3703.0000000000005;2
1031;471357;2;1060.0;2723.0;1
1032;471352;2;320.0;5261.0;1
1036;471348;2;240.0;4251.0;2
1037;471358;2;840.0;1927.0000000000002;1
1038;471351;2;480.0;2498.0;1
1039;471359;2;740.0;1672.0;7
1040;471349;2;840.0;3647.0;2
1041;470306;2;960.0;1700.0;1
1042;470291;3;1360.0;5745.0;1
1046;470299;2;1020.0;7890.000000000001;2
1047;470289;2;640.0;3487.0;1
1048;470290;2;640.0;3622.0;3
1050;470301;2;400.0;1405.0;1
1051;470294;3;300.0;796.0;1
1052;470303;2;920.0;3815.0000000000005;1
1055;471390;2;140.0;7041.0;1
1056;439095;2;240.0;1465.0;1
1058;439101;2;160.0;212.0;1
1060;439103;2;200.0;540.0;1
1064;439105;2;480.0;3014.0;4
1066;428599;2;140.0;104755.0;1
1067;428589;2;100.0;106025.0;1
1068;428588;2;120.0;106159.0;1
1069;428598;2;140.0;104733.0;1
1074;428619;2;180.0;110431.0;2
1076;428614;2;160.0;111235.0;2
1077;428606;2;160.0;104658.0;1
1078;428595;2;180.0;105339.0;1
1081;429282;2;120.0;777.0;1
1083;429280;2;200.0;336.0;2
1086;429256;2;440.0;897.0;1
1087;429246;2;100.0;527110.0;1
1090;429255;2;240.0;529694.0;1
1092;429237;2;200.0;604.0;1
1094;429262;3;380.0;256888.00000000003;2
1096;429254;3;200.0;645.0;1
1098;429251;2;440.0;533016.0;1
1099;429233;2;260.0;529549.0;2
1104;429229;2;180.0;529788.0;1
1107;429230;2;120.0;417.0;1
1111;441357;2;180.0;5861.0;2
1112;441368;2;220.0;3289.0;1
1114;441361;3;140.0;4544.0;2
1115;441360;2;240.0;5795.0;2
1116;441369;2;240.0;3129.0;1
1120;441372;2;280.0;1991.0000000000002;1
1121;441373;3;160.0;1443.0;1
1122;441366;2;240.0;3507.0;1
1123;441359;2;200.0;5492.0;1
1124;441382;2;160.0;2313.0;1
1126;441377;2;200.0;3285.0;1
1128;441358;2;200.0;6026.0;2
1130;441353;2;160.0;2189.0;1
1131;441375;2;240.0;5773.0;1
1132;441364;2;540.0;4349.0;2
1133;441390;2;980.0;6287.0;5
1134;441352;2;80.0;2221.0;1
1136;439034;2;160.0;537.0;1
1138;439036;3;220.0;856.0;2
1139;439062;2;480.0;1011.0000000000001;1
1140;439055;3;540.0;1751.0;3
1141;439037;2;400.0;656.0;1
1143;439059;2;180.0;455.0;1
1144;439048;2;140.0;185.0;1
1146;439028;2;140.0;546.0;1
1147;429355;2;220.0;1413.0;1
1152;429320;2;280.0;374.0;1
1153;429349;2;200.0;611.0;1
1154;439142;2;160.0;961.0000000000001;1
1156;439149;2;200.0;676.0;1
1176;270608;3;120.0;571.0;1
1180;270605;3;140.0;311.0;1
1191;443731;2;160.0;490.00000000000006;1
1192;443735;2;460.0;1832.0000000000002;1
1196;428553;3;200.0;2638.0;1
1207;428573;2;400.0;870.0;1
1218;428571;3;180.0;7812.000000000001;1
1220;270542;2;140.0;447.0;1
1223;270540;2;100.0;305.0;1
1226;270536;2;100.0;198.0;1
1228;270563;2;600.0;1997.0000000000002;1
1230;270545;2;340.0;709.0;1
1232;270547;3;160.0;231.00000000000003;1
1235;270517;2;180.0;398.0;1
1236;270522;3;400.0;1374.0;1
1240;270500;2;100.0;243.00000000000003;1
1241;270527;3;120.0;274.0;1
1245;437568;3;800.0;3541.0;4
1246;437561;2;160.0;1547.0;1
1247;437560;2;140.0;1814.0;1
1248;437562;2;140.0;9391.0;1
1249;437554;2;140.0;402.0;1
1251;437559;2;100.0;1951.0000000000002;1
1252;437551;2;160.0;911.0;2
1253;437548;2;220.0;1815.0;1
1255;437564;2;400.0;5306.0;2
1259;271673;2;380.0;2090.0;1
1261;430509;2;240.0;2615.0;1
1262;430510;2;460.0;3748.0000000000005;1
1265;430503;2;240.0;9764.0;2
1267;430486;3;120.0;5043.0;1
1268;430496;2;200.0;3967.0000000000005;2
1269;430516;2;460.0;6596.0;1
1270;430506;2;160.0;864.0;2
1271;430507;2;240.0;3441.0;2
1272;430489;2;180.0;362.0;2
1273;430499;2;280.0;399.0;1
1274;430505;2;320.0;3601.0;1
1275;430491;2;200.0;885.0;2
1277;430488;3;260.0;4993.0;2
1280;430446;2;240.0;635.0;1
1281;430436;2;240.0;2187.0;1
1283;430448;2;180.0;4930.0;1
1289;443776;2;580.0;1947.0000000000002;1
1294;443817;2;240.0;3054.0;1
1295;272695;2;60.0;218.0;1
1299;271559;2;140.0;6338.0;1
1301;443501;2;80.0;315.0;1
1303;443502;2;160.0;920.0000000000001;2
1310;443498;2;620.0;2144.0;1
1312;430563;2;180.0;735.0;2
1317;430560;2;140.0;2398.0;2
1327;271622;2;360.0;1258.0;1
1332;271635;2;620.0;5089.0;1
1333;271626;2;260.0;2156.0;1
1334;271619;2;140.0;2139.0;1
1336;429175;2;260.0;568.0;1
1338;429168;2;100.0;218.0;1
1339;428536;2;240.0;1619.0;1
1340;441419;2;340.0;562.0;1
1341;441434;2;240.0;997.0000000000001;1
1342;441403;2;260.0;1557.0;1
1343;441432;2;520.0;4075.0000000000005;2
1345;429189;2;300.0;895.0;1
1346;429188;2;120.0;529361.0;1
1347;429208;2;340.0;586695.0;1
1348;429218;2;540.0;444733.0;1
1350;429187;2;220.0;529297.0;1
1351;429215;2;300.0;584610.0;3
1352;429186;2;140.0;529313.0;1
1355;429216;2;240.0;586153.0;1
1356;429221;2;620.0;594106.0;1
1357;429185;2;240.0;529368.0;1
1358;429217;2;440.0;442432.0;1
1362;428648;2;260.0;187828.0;1
1365;428652;2;300.0;513944.00000000006;1
1367;428708;2;180.0;1785.0;1
1369;428682;2;140.0;426.0;1
1370;428689;2;80.0;88.0;1
1385;442926;2;220.0;1240.0;1
1388;442927;2;260.0;449.0;1
1392;271707;2;180.0;718.0;1
1399;271712;3;160.0;3056.0;2
1401;272547;2;1840.0;125265.00000000001;1
1403;272511;2;60.0;3041.0;1
1404;272545;2;480.0;5126.0;1
1408;437597;2;180.0;456.0;1
1409;437605;2;180.0;6023.0;3
1413;271730;2;140.0;73151.0;1
1414;271739;2;80.0;72500.0;1
1420;443460;2;120.0;1564.0;1
1422;443459;2;100.0;1410.0;1
1424;441455;2;520.0;157201.0;2
1425;441445;2;520.0;39345.0;3
1426;441437;2;140.0;33719.0;1
1427;441473;2;560.0;2151.0;1
1429;441444;2;940.0;39297.0;3
1432;441446;2;360.0;39017.0;3
1436;441453;2;1300.0;41007.0;1
1440;441448;2;220.0;39351.0;1
1442;441449;2;620.0;14707.000000000002;1
1444;441450;2;100.0;78555.0;1
1449;443416;2;160.0;608.0;1
1450;443417;3;160.0;318.0;1
1451;439184;2;320.0;2145.0;1
1453;439190;2;100.0;2775.0;1
1479;443671;2;120.0;139.0;1
1480;443685;2;160.0;434.0;1
1482;443847;3;240.0;2149.0;2
1483;443858;3;660.0;5876.0;3
1485;270466;2;260.0;859.0;1
1488;270467;2;140.0;280.0;1
1489;270481;2;460.0;779.0;1
1496;270484;2;240.0;533.0;1
1497;270472;2;260.0;1183.0;1
1499;270463;2;380.0;638.0;1
1500;270487;2;140.0;597.0;1
1502;354784;2;140.0;61694.00000000001;1
1506;396881;2;780.0;79278.0;1
1507;397288;2;440.0;234276.00000000003;2
1508;264816;2;620.0;36903.0;1
1509;265261;2;320.0;55781.0;1
1511;265264;2;440.0;58221.0;1
1512;465344;2;360.0;1449.0;1
1513;465502;2;360.0;4121.0;2
1514;465539;2;360.0;911.0;1
1515;461069;2;320.0;5002.0;1
1516;460203;2;740.0;5123.0;1
1518;461255;2;660.0;2193.0;1
1519;460883;3;760.0;10282.0;4
