id_teacher;st_1;eqc_1_lev;eqc_1_val;coec_1_lev;coec_1_val;st_2;eqc_2_lev;eqc_2_val;coec_2_lev;coec_2_val;st_3;eqc_3_lev;eqc_3_val;coec_3_lev;coec_3_val;st_4;eqc_4_lev;eqc_4_val;coec_4_lev;coec_4_val;st_5;eqc_5_lev;eqc_5_val;coec_5_lev;coec_5_val;st_6;eqc_6_lev;eqc_6_val;coec_6_lev;coec_6_val;st_7;eqc_7_lev;eqc_7_val;coec_7_lev;coec_7_val;st_8;eqc_8_lev;eqc_8_val;coec_8_lev;coec_8_val;st_9;eqc_9_lev;eqc_9_val;coec_9_lev;coec_9_val;st_10;eqc_10_lev;eqc_10_val;coec_10_lev;coec_10_val;st_11;eqc_11_lev;eqc_11_val;coec_11_lev;coec_11_val;st_12;eqc_12_lev;eqc_12_val;coec_12_lev;coec_12_val
1;Entièrement intégrative;Fort;0.8;Fort;0.8;Entièrement sommative;Moyen;0.6;Faible;0.0;Entièrement intégrative;Fort;1.0;Fort;1.0;Entre sommative et intégrative;Fort;0.8;Faible;0.2;Entièrement intégrative;Faible;0.1;Faible;0.2;Plutôt sommative;Moyen;0.6;Moyen;0.6;Entièrement sommative;Faible;0.3;Faible;0.0;Plutôt intégrative;Moyen;0.7;Moyen;0.4;Plutôt sommative;Faible;0.2;Faible;0.2;Entièrement sommative;Moyen;0.4;Faible;0.0;Entièrement sommative;Faible;0.1;Faible;0.0;Entièrement intégrative;Faible;0.1;Faible;0.2
2;Entièrement intégrative;Fort;0.8;Fort;0.8;Entièrement sommative;Moyen;0.7;Faible;0.0;Entièrement intégrative;Fort;1.0;Fort;1.0;Entre sommative et intégrative;Fort;1.0;Moyen;0.5;Entièrement intégrative;Faible;0.2;Moyen;0.3;Entre sommative et intégrative;Fort;1.0;Moyen;0.5;Entièrement sommative;Faible;0.15;Faible;0.0;Plutôt intégrative;Moyen;0.5;Fort;0.7;Entre sommative et intégrative;Faible;0.3;Faible;0.2;Entièrement sommative;Moyen;0.5;Faible;0.0;Entièrement sommative;Faible;0.1;Faible;0.0;Plutôt sommative;Faible;0.1;Faible;0.2
3;Entre sommative et intégrative;Moyen;0.7;Fort;0.9;Entièrement sommative;Moyen;0.6;Faible;0.0;Entre sommative et intégrative;Moyen;0.7;Fort;1.0;Plutôt intégrative;Fort;0.9;Fort;0.8;Entièrement intégrative;Faible;0.1;Faible;0.9;Entre sommative et intégrative;Fort;1.0;Moyen;0.7;Entièrement sommative;Faible;0.3;Faible;0.0;Entre sommative et intégrative;Fort;0.9;Fort;0.8;Plutôt sommative;Faible;0.4;Faible;0.2;Entièrement sommative;Fort;0.7;Faible;0.0;Entièrement sommative;Faible;0.2;Faible;0.0;Entièrement intégrative;Faible;0.2;Faible;0.3
4;Entre sommative et intégrative;Fort;0.6;Fort;0.6;Entièrement sommative;Fort;0.67;Faible;0.1;Entièrement intégrative;Fort;1.0;Fort;1.0;Plutôt intégrative;Fort;0.75;Moyen;0.5;Entièrement intégrative;Faible;0.2;Faible;0.1;Plutôt sommative;Fort;0.8;Faible;0.33;Entièrement sommative;Faible;0.25;Faible;0.0;Entre sommative et intégrative;Moyen;0.75;Fort;0.67;Plutôt sommative;Faible;0.25;Faible;0.2;Entièrement sommative;Moyen;0.5;Faible;0.1;Entièrement sommative;Faible;0.1;Faible;0.0;Plutôt sommative;Faible;0.1;Faible;0.1
5;Entièrement intégrative;Fort;1.0;Fort;1.0;Entièrement sommative;Fort;1.0;Faible;0.0;Entièrement intégrative;Fort;1.0;Fort;1.0;Entre sommative et intégrative;Fort;1.0;Moyen;0.5;Entièrement intégrative;Faible;0.3;Faible;0.3;Plutôt sommative;Fort;1.0;Moyen;0.7;Entièrement sommative;Faible;0.1;Faible;0.0;Entièrement intégrative;Fort;0.9;Fort;0.7;Entre sommative et intégrative;Faible;0.3;Faible;0.3;Entièrement sommative;Moyen;0.7;Faible;0.0;Entièrement sommative;Faible;0.2;Faible;0.0;Entièrement intégrative;Faible;0.1;Faible;0.1
6;Plutôt intégrative;Moyen;0.6;Moyen;0.5;Entièrement sommative;Fort;0.8;Faible;0.0;Entièrement intégrative;Fort;0.9;Fort;0.8;Entre sommative et intégrative;Fort;0.8;Moyen;0.5;Plutôt intégrative;Faible;0.15;Faible;0.1;Plutôt sommative;Fort;0.95;Faible;0.2;Entièrement sommative;Faible;0.3;Faible;0.0;Plutôt intégrative;Fort;0.8;Moyen;0.6;Plutôt sommative;Moyen;0.4;Moyen;0.35;Entièrement sommative;Moyen;0.7;Faible;0.01;Entièrement sommative;Faible;0.1;Faible;0.0;Plutôt intégrative;Faible;0.2;Faible;0.1
7;Entièrement intégrative;Fort;1.0;Fort;1.0;Entièrement sommative;Fort;1.0;Faible;0.0;Entièrement intégrative;Fort;1.0;Fort;1.0;Plutôt intégrative;Fort;1.0;Moyen;0.5;Entièrement intégrative;Faible;0.1;Faible;0.1;Entre sommative et intégrative;Fort;1.0;Faible;0.25;Entièrement sommative;Faible;0.25;Faible;0.0;Entièrement intégrative;Moyen;0.8;Moyen;0.5;Entre sommative et intégrative;Faible;0.1;Faible;0.1;Entièrement sommative;Moyen;0.5;Faible;0.0;Entièrement sommative;Faible;0.05;Faible;0.0;Entre sommative et intégrative;Faible;0.05;Faible;0.05
8;Plutôt sommative;Moyen;0.6;Fort;0.5;Entièrement sommative;Fort;0.8;Faible;0.05;Entièrement intégrative;Moyen;0.65;Fort;0.65;Entre sommative et intégrative;Moyen;0.75;Faible;0.15;Entièrement intégrative;Faible;0.05;Faible;0.05;Plutôt sommative;Fort;1.0;Faible;0.1;Entièrement sommative;Faible;0.2;Faible;0.0;Plutôt intégrative;Moyen;0.6;Moyen;0.5;Plutôt sommative;Faible;0.15;Faible;0.05;Entièrement sommative;Moyen;0.7;Faible;0.0;Entièrement sommative;Faible;0.1;Faible;0.0;Plutôt sommative;Faible;0.05;Faible;0.05
9;Entre sommative et intégrative;Fort;0.5;Moyen;0.5;Entièrement sommative;Fort;0.4;Faible;0.39;Plutôt intégrative;Fort;0.5;Fort;0.49;Entre sommative et intégrative;Fort;0.5;Fort;0.49;Entièrement sommative;Faible;0.1;Faible;0.01;Plutôt sommative;Fort;0.5;Faible;0.49;Entièrement intégrative;Moyen;0.3;Moyen;0.29;Plutôt intégrative;Fort;0.4;Moyen;0.35;Plutôt sommative;Faible;0.1;Faible;0.05;Entièrement sommative;Fort;0.3;Moyen;0.25;Plutôt sommative;Faible;0.1;Faible;0.09;Je ne sais pas;Faible;0.05;Faible;0.04
10;Entre sommative et intégrative;Moyen;0.6;Moyen;0.3;Entre sommative et intégrative;Moyen;0.6;Moyen;0.3;Entièrement intégrative;Fort;1.0;Fort;1.0;Entièrement intégrative;Fort;1.0;Fort;1.0;Entièrement intégrative;Faible;0.1;Faible;0.1;Entre sommative et intégrative;Fort;1.0;Moyen;0.5;Entièrement sommative;Moyen;0.5;Faible;0.0;Plutôt intégrative;Fort;0.9;Fort;0.8;Entre sommative et intégrative;Faible;0.2;Faible;0.2;Entièrement sommative;Moyen;0.5;Faible;0.0;Entièrement sommative;Faible;0.1;Faible;0.0;Entièrement intégrative;Faible;0.2;Faible;0.1
11;Entièrement intégrative;Moyen;0.85;Fort;1.0;Entièrement sommative;Moyen;0.8;Faible;0.1;Entièrement intégrative;Fort;1.0;Fort;1.0;Plutôt sommative;Fort;1.0;Moyen;0.5;Entièrement intégrative;Faible;0.2;Fort;0.5;Plutôt intégrative;Fort;1.0;Moyen;0.5;Entièrement intégrative;Faible;0.2;Faible;0.0;Entièrement intégrative;Fort;0.8;Fort;0.7;Je ne sais pas;Faible;0.2;Faible;0.2;Entièrement sommative;Faible;0.4;Faible;0.0;Entièrement sommative;Faible;0.1;Faible;0.0;Plutôt intégrative;Faible;0.1;Faible;0.1
12;Entièrement intégrative;Fort;1.0;Fort;1.0;Plutôt sommative;Fort;1.0;Faible;0.1;Entièrement intégrative;Fort;1.0;Fort;1.0;Entre sommative et intégrative;Fort;1.0;Moyen;0.3;Entièrement intégrative;Faible;0.2;Faible;0.1;Plutôt sommative;Fort;1.0;Faible;0.2;Entièrement sommative;Faible;0.2;Faible;0.0;Entre sommative et intégrative;Moyen;0.5;Moyen;0.3;Plutôt sommative;Faible;0.2;Faible;0.1;Entièrement sommative;Moyen;0.6;Faible;0.1;Entièrement sommative;Faible;0.2;Faible;0.0;Plutôt sommative;Faible;0.2;Faible;0.1
13;Plutôt intégrative;Moyen;0.5;Moyen;0.5;Plutôt sommative;Fort;1.0;Faible;0.1;Entièrement intégrative;Fort;1.0;Fort;1.0;Entre sommative et intégrative;Fort;1.0;Moyen;0.5;Entièrement intégrative;Faible;0.1;Fort;1.0;Plutôt sommative;Fort;1.0;Moyen;0.5;Entièrement sommative;Faible;0.1;Faible;0.0;Entre sommative et intégrative;Fort;1.0;Fort;1.0;Entre sommative et intégrative;Moyen;0.3;Moyen;0.5;Entièrement sommative;Moyen;0.8;Faible;0.0;Entièrement sommative;Faible;0.1;Faible;0.0;Entièrement intégrative;Faible;0.1;Moyen;0.3
