;;;;;;
LD;MV ;ML;L;M;H;RMSD
1;0.49;M;0;7;8;0.32
2;0.87;H;0;6;9;0.19
3;0.84;H;1;2;12;0.24
4;0.99;H;0;1;14;0.21
5;0.49;M;15;0;0;0.36
6;0.99;H;0;1;14;0.19
7;0.51;M;13;2;0;0.3
8;0.99;H;0;7;8;0.3
9;0.48;M;13;2;0;0.27
10;0.92;H;1;11;3;0.39
11;0.29;L;15;0;0;0.19
12;0.14;L;15;0;0;0.07
