,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec
91,453,38558,368617,6582231,1,0,35,1,0.0,0.0
92,453,38558,368617,6582606,1,0,47,5,0.0,0.0
93,453,38558,368617,6582613,1,0,47,5,0.0,0.0
94,453,38558,368617,6587593,1,0,47,5,0.0,0.0
95,453,38558,368231,6534539,1,0,118,2,0.0,0.0
96,453,38558,368231,6546473,2,0,118,2,0.0,0.0
97,453,38558,368243,6536443,1,0,84,7,0.0,0.0
98,453,38558,368243,6546577,2,0,84,7,0.04,0.04
99,453,38558,368499,6546703,1,0,61,3,0.0,0.0
100,453,38558,369879,6586685,1,0,4,1,0.0,0.0
101,453,38558,369879,6586691,1,0,4,1,0.0,0.0
102,453,38558,369879,6586721,1,0,4,1,0.0,0.0
103,453,38558,369879,6587113,1,0,48,3,0.0,0.0
104,453,38558,368229,6534511,1,0,101,2,0.0,0.0
105,453,38558,368229,6546457,2,0,104,2,0.12,0.13
106,453,38558,368351,6541016,1,0,80,5,0.0,0.0
107,453,38558,368351,6550329,1,0,96,6,0.0,0.0
108,453,38558,368619,6583124,1,0,69,2,0.0,0.0
109,453,38558,368619,6583549,1,0,85,3,0.0,0.0
110,453,38558,368619,6587627,1,0,85,3,0.0,0.0
111,453,40257,369647,6589513,1,0,71,4,0.0,0.0
112,453,40257,369647,6591152,1,0,139,6,0.0,0.0
113,453,40257,369647,6592701,1,0,139,6,0.0,0.0
114,453,40257,369647,6592804,1,0,139,6,0.0,0.0
115,453,40257,369647,6592827,1,0,71,5,0.0,0.0
116,453,40257,369647,6592845,1,0,71,4,0.0,0.0
117,453,40257,368412,6543956,1,0,80,5,0.0,0.0
118,453,40257,368693,6583106,1,0,22,1,0.0,0.0
119,453,40257,368693,6583351,1,0,21,1,0.0,0.0
120,453,40257,368693,6583816,1,0,84,4,0.0,0.0
121,453,40257,368408,6543936,1,0,118,2,0.0,0.0
122,453,40257,368411,6543950,1,0,56,4,0.0,0.0
123,453,40257,368410,6543948,1,0,84,7,0.0,0.0
124,453,40257,368410,6546685,1,0,84,7,0.0,0.0
125,453,40257,368409,6543941,1,0,88,8,0.0,0.0
126,453,40257,368722,6600189,1,0,31,3,0.0,0.0
127,453,40257,368694,6583126,1,0,27,2,0.0,0.0
128,453,40257,368694,6583958,1,0,38,3,0.0,0.0
129,453,40257,368506,6546697,1,0,56,4,0.0,0.0
130,453,40257,368506,6600574,1,0,67,6,0.0,0.0
131,453,40257,369555,6569801,1,0,89,3,0.0,0.0
132,453,40257,369946,6592812,1,0,68,3,0.0,0.0
133,453,40257,369946,6594293,1,0,77,3,0.0,0.0
134,453,40257,369946,6598389,1,0,82,3,0.0,0.0
