,id_labdoc,id_trace,action_time,id_mission,id_report,n_users,teacher,n_tokens,n_segments,eqc,coec,user,sim
54,368229,6546457,2020-12-17 17:10:10,453,38558,2,0,104,2,0.12,0.13,10671,0.99
55,368351,6550329,2020-12-17 19:32:56,453,38558,1,0,96,6,0.0,0.0,10702,1.0
56,368619,6587627,2020-12-18 16:03:13,453,38558,1,0,85,3,0.0,0.0,10671,1.0
57,369647,6592845,2020-12-18 16:54:41,453,40257,1,0,71,4,0.0,0.0,10702,1.0
58,368412,6543956,2020-12-17 15:13:18,453,40257,1,0,80,5,0.0,0.0,10702,1.0
59,368693,6583816,2020-12-18 15:17:18,453,40257,1,0,84,4,0.0,0.0,10702,1.0
60,368408,6543936,2020-12-17 15:12:42,453,40257,1,0,118,2,0.0,0.0,10702,1.0
61,368411,6543950,2020-12-17 15:13:09,453,40257,1,0,56,4,0.0,0.0,10702,1.0
62,368410,6546685,2020-12-17 17:17:02,453,40257,1,0,84,7,0.0,0.0,10702,1.0
63,368409,6543941,2020-12-17 15:12:48,453,40257,1,0,88,8,0.0,0.0,10702,1.0
64,368722,6600189,2020-12-18 19:42:52,453,40257,1,0,31,3,0.0,0.0,10702,1.0
65,368694,6583958,2020-12-18 15:20:02,453,40257,1,0,38,3,0.0,0.0,10702,1.0
66,368506,6600574,2020-12-18 20:04:43,453,40257,1,0,67,6,0.0,0.0,10702,1.0
67,369555,6569801,2020-12-18 10:41:08,453,40257,1,0,89,3,0.0,0.0,10702,1.0
68,369946,6598389,2020-12-18 18:12:50,453,40257,1,0,82,3,0.0,0.0,10702,1.0
69,368712,6599621,2020-12-18 19:10:58,453,40257,1,0,51,2,0.0,0.0,10702,1.0
70,368505,6546691,2020-12-17 17:17:20,453,40257,1,0,84,7,0.0,0.0,10702,1.0
71,369570,6600838,2020-12-18 20:19:35,453,40257,1,0,44,2,0.0,0.0,10702,1.0
72,368654,6549284,2020-12-17 18:53:54,453,40257,1,0,61,3,0.0,0.0,10702,1.0
73,368407,6543933,2020-12-17 15:12:36,453,40257,1,0,101,2,0.0,0.0,10702,1.0
74,250183,3749925,2019-12-20 15:20:19,453,27390,1,0,320,9,0.0,0.0,8201,1.0
75,250400,3756389,2019-12-20 17:28:43,453,27390,1,0,143,7,0.0,0.0,8201,1.0
76,249270,3720887,2019-12-19 16:36:57,453,27390,1,0,140,7,0.0,0.0,8201,1.0
77,250278,3756432,2019-12-20 17:30:00,453,27390,1,0,167,5,0.0,0.0,8201,1.0
78,250480,3756348,2019-12-20 17:27:44,453,27390,1,0,137,6,0.0,0.0,8201,1.0
79,368887,6582347,2020-12-18 14:51:32,453,38560,1,0,28,2,0.0,0.0,10676,1.0
80,369351,6595965,2020-12-18 17:25:15,453,38560,1,0,82,4,0.0,0.0,10676,1.0
81,369633,6596437,2020-12-18 17:30:33,453,38560,1,0,68,3,0.0,0.0,10676,1.0
82,369237,6591383,2020-12-18 16:40:26,453,38560,1,0,48,3,0.0,0.0,10676,1.0
83,368778,6583195,2020-12-18 15:08:39,453,38560,1,0,60,3,0.0,0.0,10676,1.0
84,368785,6569378,2020-12-18 10:35:51,453,38560,1,0,119,7,0.0,0.0,10699,1.0
85,368153,6545590,2020-12-17 16:33:20,453,38627,1,0,57,6,0.0,0.0,10741,1.0
86,368355,6544245,2020-12-17 15:23:44,453,38627,1,0,27,1,0.0,0.0,10772,1.0
87,368355,6544726,2020-12-17 15:47:16,453,38627,2,0,186,7,0.3,0.0,10741,0.81
88,367561,6518185,2020-12-16 18:21:39,453,38627,1,0,41,3,0.0,0.0,10772,1.0
89,367561,6531787,2020-12-17 09:20:13,453,38627,2,0,41,3,0.0,0.0,10741,1.0
90,368445,6545899,2020-12-17 16:49:24,453,38627,1,0,32,1,0.0,0.0,10772,1.0
91,368415,6545649,2020-12-17 16:35:38,453,38627,1,0,51,3,0.0,0.0,10741,1.0
92,367645,6518768,2020-12-16 18:42:56,453,38627,1,0,40,3,0.0,0.0,10772,1.0
93,368069,6529296,2020-12-17 08:29:40,453,38627,1,0,51,3,0.0,0.0,10741,1.0
94,365601,6528964,2020-12-17 08:18:42,453,38627,1,0,199,12,0.0,0.0,10741,1.0
95,367602,6518563,2020-12-16 18:35:51,453,38627,1,0,17,2,0.0,0.0,10772,1.0
96,368421,6544557,2020-12-17 15:38:52,453,38627,1,0,16,1,0.0,0.0,10772,1.0
97,369027,6578646,2020-12-18 12:16:31,453,38482,1,0,67,2,0.0,0.0,10634,1.0
98,368909,6567874,2020-12-18 10:15:14,453,38482,1,0,101,5,0.0,0.0,10634,1.0
99,368631,6549305,2020-12-17 18:54:55,453,38482,1,0,100,2,0.0,0.0,10634,1.0
100,368782,6560531,2020-12-18 08:55:54,453,38482,1,0,64,5,0.0,0.0,10634,1.0
101,368936,6568906,2020-12-18 10:28:58,453,38482,1,0,36,2,0.0,0.0,10634,1.0
102,368697,6550193,2020-12-17 19:28:17,453,38482,1,0,39,3,0.0,0.0,10634,1.0
103,369038,6579098,2020-12-18 12:28:06,453,38482,1,0,89,4,0.0,0.0,10634,1.0
104,340981,5882695,2020-11-30 10:45:28,453,37539,1,0,22,1,0.0,0.0,10893,1.0
105,340965,5881812,2020-11-30 10:32:52,453,37539,1,0,15,1,0.0,0.0,10893,1.0
106,340943,5881148,2020-11-30 10:20:09,453,37539,1,0,81,5,0.0,0.0,10893,1.0
107,341007,5883091,2020-11-30 10:50:27,453,37539,1,0,39,5,0.0,0.0,10893,1.0
108,340952,5881484,2020-11-30 10:27:03,453,37539,1,0,38,3,0.0,0.0,10893,1.0
109,340930,5880929,2020-11-30 10:15:23,453,37539,1,0,14,1,0.0,0.0,10893,1.0
110,341074,5884556,2020-11-30 11:09:16,453,37539,1,0,15,1,0.0,0.0,10893,1.0
111,341158,5886729,2020-11-30 11:34:46,453,37539,1,0,24,1,0.0,0.0,10893,1.0
112,340591,5875262,2020-11-30 08:20:11,453,37539,1,0,33,2,0.0,0.0,10893,1.0
113,340966,5881892,2020-11-30 10:34:09,453,37539,1,0,21,1,0.0,0.0,10893,1.0
114,340976,5882394,2020-11-30 10:41:56,453,37539,1,0,12,1,0.0,0.0,10893,1.0
