,id_mission,id_report,id_labdoc,id_trace,user,sim
0,453,38523,365902,6514478,10638,1.0
1,453,38523,365897,6512026,10662,1.0
2,453,38523,365918,6505096,10662,1.0
3,453,38523,365918,6507130,10638,0.82
4,453,38523,365962,6516349,10638,1.0
5,453,38523,365829,6474657,10638,1.0
6,453,38523,362157,6503721,10638,1.0
7,453,38523,362078,6408983,10662,1.0
8,453,38555,368460,6588591,10705,1.0
9,453,38555,368467,6593435,10705,1.0
10,453,38555,368459,6590654,10705,1.0
11,453,38555,368452,6583476,10705,1.0
12,453,38555,368491,6597661,10705,1.0
13,453,38555,368417,6544938,10705,1.0
14,453,37526,338199,5810928,10881,1.0
15,453,37526,338002,5801341,10876,1.0
16,453,37526,337724,5791018,10881,1.0
17,453,37526,334690,5738066,10876,1.0
18,453,37526,334690,5804407,10881,1.0
19,453,37526,338018,5805329,10881,1.0
20,453,37526,338206,5809559,10876,1.0
21,453,37526,338171,5807581,10876,1.0
22,453,37526,337839,5800279,10876,1.0
23,453,37558,334745,5735007,10922,1.0
24,453,37558,335623,5735438,10930,1.0
25,453,37558,332871,5667079,10930,1.0
26,453,37558,332871,5670832,10922,0.94
27,453,37558,332871,5672116,10930,1.0
28,453,37558,332871,5709172,10922,0.89
29,453,37558,334731,5721553,10922,1.0
30,453,37558,334731,5722619,10930,0.75
31,453,37558,334731,5725082,10922,0.8
32,453,37558,334749,5730250,10932,1.0
33,453,37558,334749,5735249,10922,0.87
34,453,37558,334740,5725486,10932,1.0
35,453,37558,334740,5726766,10922,0.76
36,453,37558,334740,5729489,10930,0.69
37,453,37558,334740,5733320,10932,1.0
38,453,38558,368235,6536524,10702,1.0
39,453,38558,368235,6546529,10671,1.0
40,453,38558,368278,6538449,10702,1.0
41,453,38558,368658,6596135,10671,1.0
42,453,38558,368526,6547174,10671,1.0
43,453,38558,368632,6588225,10671,1.0
44,453,38558,368639,6591164,10671,1.0
45,453,38558,368525,6547168,10671,1.0
46,453,38558,368617,6587593,10671,1.0
47,453,38558,368231,6534539,10702,1.0
48,453,38558,368231,6546473,10671,1.0
49,453,38558,368243,6536443,10702,1.0
50,453,38558,368243,6546577,10671,0.99
51,453,38558,368499,6546703,10671,1.0
52,453,38558,369879,6587113,10671,1.0
53,453,38558,368229,6534511,10702,1.0
54,453,38558,368229,6546457,10671,0.99
55,453,38558,368351,6550329,10702,1.0
56,453,38558,368619,6587627,10671,1.0
57,453,40257,369647,6592845,10702,1.0
58,453,40257,368412,6543956,10702,1.0
59,453,40257,368693,6583816,10702,1.0
60,453,40257,368408,6543936,10702,1.0
61,453,40257,368411,6543950,10702,1.0
62,453,40257,368410,6546685,10702,1.0
63,453,40257,368409,6543941,10702,1.0
64,453,40257,368722,6600189,10702,1.0
65,453,40257,368694,6583958,10702,1.0
66,453,40257,368506,6600574,10702,1.0
67,453,40257,369555,6569801,10702,1.0
68,453,40257,369946,6598389,10702,1.0
69,453,40257,368712,6599621,10702,1.0
70,453,40257,368505,6546691,10702,1.0
71,453,40257,369570,6600838,10702,1.0
72,453,40257,368654,6549284,10702,1.0
73,453,40257,368407,6543933,10702,1.0
74,453,27390,250183,3749925,8201,1.0
75,453,27390,250400,3756389,8201,1.0
76,453,27390,249270,3720887,8201,1.0
77,453,27390,250278,3756432,8201,1.0
78,453,27390,250480,3756348,8201,1.0
79,453,38560,368887,6582347,10676,1.0
80,453,38560,369351,6595965,10676,1.0
81,453,38560,369633,6596437,10676,1.0
82,453,38560,369237,6591383,10676,1.0
83,453,38560,368778,6583195,10676,1.0
84,453,38560,368785,6569378,10699,1.0
85,453,38627,368153,6545590,10741,1.0
86,453,38627,368355,6544245,10772,1.0
87,453,38627,368355,6544726,10741,0.81
88,453,38627,367561,6518185,10772,1.0
89,453,38627,367561,6531787,10741,1.0
90,453,38627,368445,6545899,10772,1.0
91,453,38627,368415,6545649,10741,1.0
92,453,38627,367645,6518768,10772,1.0
93,453,38627,368069,6529296,10741,1.0
94,453,38627,365601,6528964,10741,1.0
95,453,38627,367602,6518563,10772,1.0
96,453,38627,368421,6544557,10772,1.0
97,453,38482,369027,6578646,10634,1.0
98,453,38482,368909,6567874,10634,1.0
99,453,38482,368631,6549305,10634,1.0
100,453,38482,368782,6560531,10634,1.0
101,453,38482,368936,6568906,10634,1.0
102,453,38482,368697,6550193,10634,1.0
103,453,38482,369038,6579098,10634,1.0
104,453,37539,340981,5882695,10893,1.0
105,453,37539,340965,5881812,10893,1.0
106,453,37539,340943,5881148,10893,1.0
107,453,37539,341007,5883091,10893,1.0
108,453,37539,340952,5881484,10893,1.0
109,453,37539,340930,5880929,10893,1.0
110,453,37539,341074,5884556,10893,1.0
111,453,37539,341158,5886729,10893,1.0
112,453,37539,340591,5875262,10893,1.0
113,453,37539,340966,5881892,10893,1.0
114,453,37539,340976,5882394,10893,1.0
115,453,37539,340914,5880497,10893,1.0
116,453,37539,340755,5876819,10893,1.0
117,453,37539,340967,5882066,10893,1.0
118,453,37539,341174,5887839,10893,1.0
119,453,37539,340905,5879813,10893,1.0
120,453,37539,340923,5880517,10893,1.0
121,453,37539,340951,5881254,10893,1.0
122,453,37539,341010,5883921,10893,1.0
123,453,37539,340926,5880680,10893,1.0
124,453,37539,340954,5881596,10893,1.0
125,453,37539,341161,5887054,10893,1.0
126,453,37539,340835,5877205,10893,1.0
127,453,37539,341055,5884486,10893,1.0
128,453,37539,340927,5880843,10893,1.0
129,453,37539,340955,5881650,10893,1.0
130,453,37539,341078,5886837,10893,1.0
131,453,37539,341078,5895893,10917,0.57
132,453,37539,340788,5877116,10893,1.0
133,453,37539,340270,5866822,10893,1.0
134,453,37539,340270,5869856,10917,0.57
135,453,37539,340978,5885737,10893,1.0
136,453,37539,340979,5882529,10893,1.0
137,453,37539,340873,5881183,10893,1.0
138,453,37539,340934,5881785,10893,1.0
139,453,37539,341155,5886588,10893,1.0
140,453,37539,341155,5895541,10917,0.87
141,453,37539,341163,5887750,10893,1.0
142,453,37539,340837,5881799,10893,1.0
143,453,27181,246354,3655292,8229,1.0
144,453,27181,245867,3641247,8230,1.0
145,453,27181,245867,3644125,8229,0.9
146,453,27181,245867,3645938,8230,0.82
147,453,27181,245867,3648824,8229,0.83
148,453,27181,245867,3652236,8230,1.0
149,453,27181,245951,3653038,8229,1.0
150,453,27181,245954,3655053,8229,1.0
151,453,27181,245834,3642400,8230,1.0
152,453,27181,245728,3638509,8229,1.0
153,453,27181,245728,3642736,8230,0.99
154,453,27181,245728,3650215,8229,1.0
155,453,27181,245924,3642344,8230,1.0
156,453,27181,245924,3647715,8229,0.83
