,id_mission,id_report,id_labdoc,id_trace,n_users,n_mots,indice_collab,indice_contrib
70598,861,41206,381585,6793993,1,91,0.0,0.0
70602,861,41206,381584,6793704,2,97,0.4961670631773724,0.6695716866829631
70605,861,41206,381582,6790956,2,51,0.8116218147177899,0.9396386005382544
70608,861,41206,381583,6790906,1,116,0.0,0.0
70612,861,41206,381581,6790838,2,168,0.3489826506756519,0.4286003270621235
70613,861,41369,381167,6779008,1,19,0.0,0.0
70620,861,41369,381164,6778895,2,108,0.5888675429019344,0.5888675429019344
70623,861,41369,381165,6778887,2,87,0.8283432629356344,0.8283432629356344
70624,861,41369,381169,6779091,1,20,0.0,0.0
70625,861,41369,381168,6779056,1,23,0.0,0.0
70626,861,41369,381161,6774997,1,148,0.0,0.0
70628,861,41369,381163,6775769,1,131,0.0,0.0
70630,861,41369,381162,6775016,1,46,0.0,0.0
70631,861,41212,381177,6778924,1,30,0.0,0.0
70632,861,41212,381176,6778168,1,18,0.0,0.0
70638,861,41212,381174,6778536,2,112,0.4312868627064893,0.5763212622984368
70642,861,41212,381175,6778708,2,94,0.4152159896840748,0.5703938433680398
70643,861,41212,381179,6778928,1,23,0.0,0.0
70644,861,41212,381178,6778701,1,31,0.0,0.0
70647,861,41212,381171,6775564,2,229,0.7453621398466662,0.8862531225567781
70651,861,41212,381173,6776184,1,119,0.0,0.0
70655,861,41212,381172,6775716,2,53,0.9270202919188324,0.9270202919188324
70661,861,41207,381606,6820364,2,128,0.4301324112321587,0.5650196670713064
70666,861,41207,381604,6791284,2,157,0.2542690629134261,0.2608335915141316
70675,861,41207,381605,6818307,3,82,0.8205304382312115,0.8205304382312116
70678,861,41207,381603,6791346,1,41,0.0,0.0
70690,861,41207,381602,6791571,1,249,0.0,0.0
70695,861,41458,381616,6796462,2,63,0.4640692640692641,0.582514487276392
70699,861,41458,381614,6793776,2,139,0.4444666624543217,0.5502011798330372
70714,861,41458,381615,6796626,2,76,0.468932203447279,0.6174674985512559
70718,861,41458,381613,6794005,2,96,0.7158564814814815,0.8046875
70722,861,41458,381612,6791050,2,284,0.1870243438969736,0.3534357341941145
70725,861,28321,258048,3984690,3,92,0.5645684620376379,0.6947069943289226
70726,861,28321,258044,3979472,1,484,0.0,0.0
70730,861,28321,258045,3984082,1,112,0.0,0.0
70734,861,28321,258047,3985202,3,122,0.5938780737704918,0.6839223327062617
70735,861,28321,258046,3979404,1,89,0.0,0.0
70745,861,28277,257614,3966872,3,213,0.3190508512924939,0.5312107386100642
70748,861,28277,257622,3967208,1,106,0.0,0.0
70755,861,28277,257616,3966489,3,140,0.3456221198156682,0.5351020408163265
70756,861,28277,257630,3967225,1,30,0.0,0.0
70758,861,28277,257628,3967451,1,35,0.0,0.0
70761,861,28277,257612,3963517,1,159,0.0,0.0
70764,861,28277,257625,3967461,1,63,0.0,0.0
70774,861,28277,257613,3967294,1,261,0.0,0.0
70779,861,28277,257611,3964325,3,313,0.229025258030999,0.4579431219700031
70781,861,28277,257619,3967470,1,71,0.0,0.0
70792,861,28146,256451,3940555,2,397,0.2634457595097517,0.753918480530728
70793,861,28146,256458,3942077,1,77,0.0,0.0
70797,861,28146,256453,3940867,1,97,0.0,0.0
70802,861,28146,256452,3940885,2,113,0.6136031549676997,0.6243245359855902
70805,861,28146,256457,3942141,2,24,0.9993425378040762,0.9993425378040762
70806,861,28146,256460,3942219,1,17,0.0,0.0
70807,861,28146,256456,3941980,1,28,0.0,0.0
70814,861,28146,256454,3942170,3,90,0.7652301117685734,0.7652301117685734
70817,861,28146,256455,3941834,3,91,0.6984663687960391,0.6984663687960391
70819,861,44509,437244,7314116,2,24,0.375,0.375
70823,861,44509,437247,7311139,2,106,0.3939829160600333,0.4666570696618521
70827,861,44509,437241,7309678,3,276,0.4986552359174642,0.8723416824196597
